City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain Inches(last 3hrs),Snow Inches(last 3hrs)
0,Kankakee,US,2019-11-09 23:31:12,41.12,-87.86,44.6,56,1,4.7,clear sky,0.0,0.0
1,Plettenberg Bay,ZA,2019-11-09 23:31:12,-34.05,23.37,61.59,80,95,11.72,overcast clouds,0.0,0.0
2,Lishui,CN,2019-11-09 23:31:12,28.45,119.91,50.67,73,26,1.74,scattered clouds,0.0,0.0
3,Saint-Philippe,CA,2019-11-09 23:31:13,45.36,-73.48,37.0,64,90,11.41,overcast clouds,0.0,0.0
4,Baijiantan,CN,2019-11-09 23:31:13,45.63,85.18,38.21,50,90,5.75,overcast clouds,0.0,0.0
5,San Carlos De Bariloche,AR,2019-11-09 23:31:13,-41.13,-71.31,62.6,42,75,9.17,broken clouds,0.0,0.0
6,Khuzhir,RU,2019-11-09 23:31:13,53.19,107.35,26.8,63,100,24.67,overcast clouds,0.0,0.0
7,Deer Lake,CA,2019-11-09 23:31:13,49.18,-57.43,28.4,74,75,11.41,light snow,0.0,0.0
8,Rikitea,PF,2019-11-09 23:31:14,-23.12,-134.97,72.54,80,100,10.49,light rain,0.94,0.0
9,Westport,US,2019-11-09 23:31:14,41.14,-73.36,42.01,48,20,10.29,few clouds,0.0,0.0
10,Esperance,AU,2019-11-09 23:31:14,-33.86,121.89,78.8,19,94,20.8,overcast clouds,0.0,0.0
11,Shymkent,KZ,2019-11-09 23:31:14,42.31,69.59,37.4,51,27,4.47,mist,0.0,0.0
12,Umm Lajj,SA,2019-11-09 23:31:14,25.02,37.27,78.3,47,0,8.19,clear sky,0.0,0.0
13,Port Lincoln,AU,2019-11-09 23:31:15,-34.72,135.86,61.43,54,0,6.42,clear sky,0.0,0.0
14,Flinders,AU,2019-11-09 23:31:15,-34.58,150.85,73.99,34,90,9.17,overcast clouds,0.0,0.0
15,Cape Town,ZA,2019-11-09 23:30:02,-33.93,18.42,66.2,63,0,5.82,clear sky,0.0,0.0
16,Iskateley,RU,2019-11-09 23:31:15,67.68,53.15,1.44,96,0,7.61,clear sky,0.0,0.0
17,Atuona,PF,2019-11-09 23:31:15,-9.8,-139.03,80.31,74,1,11.5,clear sky,0.0,0.0
18,Rochester,US,2019-11-09 23:27:24,44.02,-92.46,37.99,95,90,4.7,light rain,0.0,0.0
19,Pochutla,MX,2019-11-09 23:31:16,15.74,-96.47,86.0,66,20,6.93,few clouds,0.0,0.0
20,Busselton,AU,2019-11-09 23:31:16,-33.64,115.35,71.01,59,51,9.62,light rain,0.19,0.0
21,Victoria,BN,2019-11-09 23:28:05,5.28,115.24,78.8,83,75,2.24,broken clouds,0.0,0.0
22,Soure,PT,2019-11-09 23:31:16,40.06,-8.63,57.2,82,75,14.99,broken clouds,0.0,0.0
