City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
34,Caarapo,BR,71.38,light rain,-22.63,-54.82,Hotel Pousada Quinta do Sul
108,Arraial Do Cabo,BR,72.7,light rain,-22.97,-42.02,Pousada Porto Praia
128,Klaksvik,FO,39.2,light rain,62.23,-6.59,Airbnb rooms
146,Myitkyina,MM,65.59,light rain,25.38,97.4,Shwe Phyu Hotel
149,Fuerte Olimpo,BR,74.97,light rain,-21.04,-57.87,Hotel Fuerte Olimpo
156,Constitucion,MX,62.01,light rain,23.99,-104.67,Hotel Posada San Agustin
166,Vestmannaeyjar,IS,42.24,light rain,63.44,-20.27,Glamping & Camping
179,Puerto Ayacucho,CO,72.34,light rain,5.66,-67.63,Posada Turistica Manapiare
188,Namibe,AO,73.22,moderate rain,-15.19,12.15,Chik-Chik Namibe
193,Coari,BR,74.88,light rain,-4.09,-63.14,HOTEL ALEX FLAT
218,Kamenka,MD,55.99,light rain,48.03,28.7,
260,Rosario,UY,62.01,light rain,-34.31,-57.35,Hotel Riviera
285,Barra Do Garcas,BR,70.65,light rain,-15.89,-52.26,Hotel Pousada Tropical
333,Rodrigues Alves,BR,73.06,light rain,-7.74,-72.65,Hotel José Pereira
338,Sao Felix Do Xingu,BR,71.64,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
354,Miranda,BR,74.12,light rain,-20.24,-56.38,Pantanal Inn Inn waters
358,Praia,BR,69.8,light rain,-20.25,-43.81,Hotel Pousada de Minas
396,Hofn,IS,43.32,light rain,64.25,-15.21,Hótel Höfn
443,Baependi,BR,63.99,light rain,-21.96,-44.89,Pousada Condado Santa Maria
458,Puerto Leguizamo,CO,72.32,light rain,-0.19,-74.78,la casona de juancho
459,Kasongo-Lunda,CD,71.4,light rain,-6.48,16.82,
484,Bereznyky,UA,52.59,light rain,50.86,27.48,
525,Bonavista,CA,48.0,overcast clouds,48.65,-53.11,Abbott's Bed & Breakfast
549,Malanje,AO,67.41,light rain,-9.54,16.35,Hospedaria Pamaza
568,Velizh,RU,42.4,light rain,55.61,31.2,Энергетик
581,Ostrov,RU,42.8,light rain,57.34,28.36,Ostrov-Park
623,Monte Alegre,BR,74.5,light rain,-2.0,-54.07,Hotel Shekinah
631,Campos Altos,BR,66.13,light rain,-19.7,-46.17,Hotel São José
648,Lopukhiv,UA,45.01,light rain,48.37,23.97,Hotelʹ Kryshtalevyy Vodohray
651,Tuensang,IN,61.66,light rain,26.24,94.81,KC Lodge
656,Lumeje,AO,73.36,light rain,-11.56,20.78,
665,Codajas,BR,74.64,light rain,-3.84,-62.06,Hotel Tamires
674,Serebriya,UA,55.99,light rain,48.46,27.72,
